PARAMETERS
Security level: 128 bits
Varying values of A for each curve
Co-factor is 4
Twist-secure curve
-------------------------
542 not Montgomery
543 not Montgomery
544 not Montgomery
545 not Montgomery
531 small_factor 8
536 not Montgomery
546 not Montgomery
547 not Montgomery
549 not Montgomery
548 small_factor 8
551 not Montgomery
552 small_factor 8
555 not Montgomery
553 small_factor 3
554 small_factor 3
556 small_factor 3
558 not Montgomery
559 not Montgomery
550 not Montgomery
560 not Montgomery
557 small_factor 3
539 small_factor 5
561 not Montgomery
562 not Montgomery
563 not Montgomery
567 not Montgomery
568 not Montgomery
569 not Montgomery
572 not Montgomery
571 small_factor 8
573 not Montgomery
574 small_factor 8
564 not Montgomery
565 small_factor 8
576 not Montgomery
566 small_factor 8
191 small_factor 23
578 not Montgomery
579 not Montgomery
580 not Montgomery
570 small_factor 8
581 small_factor 8
582 not Montgomery
584 not Montgomery
585 not Montgomery
586 not Montgomery
583 small_factor 3
589 not Montgomery
575 small_factor 8
590 not Montgomery
591 not Montgomery
592 not Montgomery
593 not Montgomery
594 small_factor 8
595 not Montgomery
596 not Montgomery
577 small_factor 8
597 small_factor 8
598 small_factor 8
599 not Montgomery
601 not Montgomery
587 small_factor 8
603 not Montgomery
604 not Montgomery
605 not Montgomery
606 not Montgomery
588 not Montgomery
607 not Montgomery
608 not Montgomery
610 not Montgomery
611 small_factor 8
612 not Montgomery
613 not Montgomery
602 small_factor 8
615 not Montgomery
609 small_factor 3
616 not Montgomery
617 not Montgomery
618 not Montgomery
619 not Montgomery
600 not Montgomery
614 small_factor 3
622 small_factor 8
623 not Montgomery
621 not Montgomery
624 not Montgomery
625 small_factor 8
626 not Montgomery
627 not Montgomery
620 small_factor 3
631 not Montgomery
632 not Montgomery
633 small_factor 8
634 not Montgomery
628 small_factor 3
636 not Montgomery
638 not Montgomery
639 not Montgomery
640 not Montgomery
641 not Montgomery
642 not Montgomery
643 not Montgomery
629 not Montgomery
644 not Montgomery
630 small_factor 8
635 not Montgomery
646 not Montgomery
647 not Montgomery
649 not Montgomery
650 small_factor 8
651 not Montgomery
652 not Montgomery
656 small_factor 3
645 not Montgomery
653 small_factor 8
654 small_factor 8
658 not Montgomery
659 not Montgomery
660 not Montgomery
662 not Montgomery
663 not Montgomery
661 small_factor 3
665 not Montgomery
657 small_factor 8
666 small_factor 8
664 small_factor 3
667 not Montgomery
655 not Montgomery
669 small_factor 8
671 not Montgomery
670 small_factor 8
672 not Montgomery
668 small_factor 3
673 not Montgomery
675 small_factor 8
677 not Montgomery
679 not Montgomery
680 not Montgomery
676 small_factor 3
681 small_factor 8
678 small_factor 3
685 not Montgomery
683 small_factor 3
684 small_factor 3
674 not Montgomery
687 not Montgomery
688 not Montgomery
686 small_factor 3
682 small_factor 8
689 not Montgomery
690 not Montgomery
692 not Montgomery
693 not Montgomery
694 not Montgomery
695 not Montgomery
697 not Montgomery
698 not Montgomery
691 small_factor 3
699 small_factor 8
700 not Montgomery
701 not Montgomery
696 small_factor 3
702 not Montgomery
703 not Montgomery
706 small_factor 8
709 not Montgomery
707 small_factor 3
710 not Montgomery
